"","park","order","labels","metgrp","sign","num_crit","park_reggrp","label_order","park_dm","park_ord"
"89","MANA",10,"Tree BA","Native Canopy 
 Trends","signinc_good",7,"Imminent Failure","Tree BA","MANA*","MANA*"
"90","MANA",11,"Tree Density","Native Canopy 
 Trends","nonsign",7,"Imminent Failure","Tree Density","MANA*","MANA*"
"91","MANA",12,"Sapling BA","Native Canopy 
 Trends","nonsign",7,"Imminent Failure","Sapling BA","MANA*","MANA*"
"92","MANA",13,"Sapling Density","Native Canopy 
 Trends","nonsign",7,"Imminent Failure","Sapling Density","MANA*","MANA*"
"93","MANA",14,"Seedling Density","Native Canopy 
 Trends","signinc_good",7,"Imminent Failure","Seedling Density","MANA*","MANA*"
"94","MANA",15,"Stocking Index","Native Canopy 
 Trends","nonsign",7,"Imminent Failure","Stocking Index","MANA*","MANA*"
"95","MANA",16,"Tree BA","Native Subcan. 
 Trends","signdec_bad",7,"Imminent Failure","Tree BA","MANA*","MANA*"
"96","MANA",17,"Tree Density","Native Subcan. 
 Trends","signdec_bad",7,"Imminent Failure","Tree Density","MANA*","MANA*"
"97","MANA",18,"Sapling BA","Native Subcan. 
 Trends","signdec_bad",7,"Imminent Failure","Sapling BA","MANA*","MANA*"
"98","MANA",19,"Sapling Density","Native Subcan. 
 Trends","signdec_bad",7,"Imminent Failure","Sapling Density","MANA*","MANA*"
"99","MANA",20,"Seedling Density","Native Subcan. 
 Trends","signinc_good",7,"Imminent Failure","Seedling Density","MANA*","MANA*"
"100","MANA",21,"Tree BA","Exotic 
 Trends","notmod",7,"Imminent Failure","Tree BA","MANA*","MANA*"
"101","MANA",22,"Tree Density","Exotic 
 Trends","notmod",7,"Imminent Failure","Tree Density","MANA*","MANA*"
"102","MANA",23,"Sapling BA","Exotic 
 Trends","notmod",7,"Imminent Failure","Sapling BA","MANA*","MANA*"
"103","MANA",24,"Sapling Density","Exotic 
 Trends","notmod",7,"Imminent Failure","Sapling Density","MANA*","MANA*"
"104","MANA",25,"Seedling Density","Exotic 
 Trends","notmod",7,"Imminent Failure","Seedling Density","MANA*","MANA*"
"105","MORR",1,"Sapling Density","Regen. Status","critical",7,"Imminent Failure","Sapling Density","MORR","MORR"
"106","MORR",2,"Seedling Density","Regen. Status","caution",7,"Imminent Failure","Seedling Density","MORR","MORR"
"107","MORR",3,"% Stocked Plots","Regen. Status","critical",7,"Imminent Failure","% Stocked Plots","MORR","MORR"
"108","MORR",4,"Stocking Index","Regen. Status","caution",7,"Imminent Failure","Stocking Index","MORR","MORR"
"109","MORR",9,"Deer Browse Impacts","Regen. Status","critical",7,"Imminent Failure","Deer Browse Impacts","MORR","MORR"
"110","MORR",10,"Flat Tree Diam. Dist.","Regen. Status","critical",7,"Imminent Failure","Flat Tree Diam. Dist.","MORR","MORR"
"111","MORR",5,"Sapling Composition","Regen. Status","critical",7,"Imminent Failure","Sapling Composition","MORR","MORR"
"112","MORR",6,"Seedling Composition","Regen. Status","critical",7,"Imminent Failure","Seedling Composition","MORR","MORR"
"113","MORR",7,"Sorensen Sapling","Regen. Status","critical",7,"Imminent Failure","Sorensen Sapling","MORR","MORR"
"114","MORR",8,"Sorensen Seedling","Regen. Status","acceptable",7,"Imminent Failure","Sorensen Seedling","MORR","MORR"
"115","MORR",10,"Tree BA","Native Canopy 
 Trends","nonsign",7,"Imminent Failure","Tree BA","MORR","MORR"
"116","MORR",11,"Tree Density","Native Canopy 
 Trends","signdec_bad",7,"Imminent Failure","Tree Density","MORR","MORR"
"117","MORR",12,"Sapling BA","Native Canopy 
 Trends","nonsign",7,"Imminent Failure","Sapling BA","MORR","MORR"
"118","MORR",13,"Sapling Density","Native Canopy 
 Trends","nonsign",7,"Imminent Failure","Sapling Density","MORR","MORR"
"119","MORR",14,"Seedling Density","Native Canopy 
 Trends","signinc_good",7,"Imminent Failure","Seedling Density","MORR","MORR"
"120","MORR",15,"Stocking Index","Native Canopy 
 Trends","signinc_good",7,"Imminent Failure","Stocking Index","MORR","MORR"
"121","MORR",16,"Tree BA","Native Subcan. 
 Trends","nonsign",7,"Imminent Failure","Tree BA","MORR","MORR"
"122","MORR",17,"Tree Density","Native Subcan. 
 Trends","signdec_bad",7,"Imminent Failure","Tree Density","MORR","MORR"
"123","MORR",18,"Sapling BA","Native Subcan. 
 Trends","notmod",7,"Imminent Failure","Sapling BA","MORR","MORR"
"124","MORR",19,"Sapling Density","Native Subcan. 
 Trends","notmod",7,"Imminent Failure","Sapling Density","MORR","MORR"
"125","MORR",20,"Seedling Density","Native Subcan. 
 Trends","signinc_good",7,"Imminent Failure","Seedling Density","MORR","MORR"
"126","MORR",21,"Tree BA","Exotic 
 Trends","notmod",7,"Imminent Failure","Tree BA","MORR","MORR"
"127","MORR",22,"Tree Density","Exotic 
 Trends","notmod",7,"Imminent Failure","Tree Density","MORR","MORR"
"128","MORR",23,"Sapling BA","Exotic 
 Trends","notmod",7,"Imminent Failure","Sapling BA","MORR","MORR"
"129","MORR",24,"Sapling Density","Exotic 
 Trends","notmod",7,"Imminent Failure","Sapling Density","MORR","MORR"
"130","MORR",25,"Seedling Density","Exotic 
 Trends","signinc_bad",7,"Imminent Failure","Seedling Density","MORR","MORR"
"131","SAHI",1,"Sapling Density","Regen. Status","critical",7,"Imminent Failure","Sapling Density","SAHI","SAHI"
"132","SAHI",2,"Seedling Density","Regen. Status","caution",7,"Imminent Failure","Seedling Density","SAHI","SAHI"
"133","SAHI",3,"% Stocked Plots","Regen. Status","critical",7,"Imminent Failure","% Stocked Plots","SAHI","SAHI"
"134","SAHI",4,"Stocking Index","Regen. Status","critical",7,"Imminent Failure","Stocking Index","SAHI","SAHI"
